region,dataset,model_name,threshold,tp,fp,tn,fn,precision,recall,f1,weighted_cost_per_sample,weighted_cost_normalized,utility_profile,fn_weight,fp_weight,n_samples,positive_count,negative_count
houston,houston_pooled_pairwise,hgbt,0.00,40,384,0,0,0.0943,1.0000,0.1724,0.905660,0.657534,miss_sensitive_fn5_fp1,5.00,1.00,424,40,384
houston,houston_pooled_pairwise,hgbt,0.01,38,21,363,2,0.6441,0.9500,0.7677,0.073113,0.053082,miss_sensitive_fn5_fp1,5.00,1.00,424,40,384
houston,houston_pooled_pairwise,hgbt,0.02,36,14,370,4,0.7200,0.9000,0.8000,0.080189,0.058219,miss_sensitive_fn5_fp1,5.00,1.00,424,40,384
houston,houston_pooled_pairwise,hgbt,0.03,36,13,371,4,0.7347,0.9000,0.8090,0.077830,0.056507,miss_sensitive_fn5_fp1,5.00,1.00,424,40,384
houston,houston_pooled_pairwise,hgbt,0.04,36,11,373,4,0.7660,0.9000,0.8276,0.073113,0.053082,miss_sensitive_fn5_fp1,5.00,1.00,424,40,384
houston,houston_pooled_pairwise,hgbt,0.05,36,10,374,4,0.7826,0.9000,0.8372,0.070755,0.051370,miss_sensitive_fn5_fp1,5.00,1.00,424,40,384
houston,houston_pooled_pairwise,hgbt,0.06,36,10,374,4,0.7826,0.9000,0.8372,0.070755,0.051370,miss_sensitive_fn5_fp1,5.00,1.00,424,40,384
houston,houston_pooled_pairwise,hgbt,0.07,35,10,374,5,0.7778,0.8750,0.8235,0.082547,0.059932,miss_sensitive_fn5_fp1,5.00,1.00,424,40,384
houston,houston_pooled_pairwise,hgbt,0.08,35,10,374,5,0.7778,0.8750,0.8235,0.082547,0.059932,miss_sensitive_fn5_fp1,5.00,1.00,424,40,384
houston,houston_pooled_pairwise,hgbt,0.09,35,10,374,5,0.7778,0.8750,0.8235,0.082547,0.059932,miss_sensitive_fn5_fp1,5.00,1.00,424,40,384
houston,houston_pooled_pairwise,hgbt,0.10,35,10,374,5,0.7778,0.8750,0.8235,0.082547,0.059932,miss_sensitive_fn5_fp1,5.00,1.00,424,40,384
houston,houston_pooled_pairwise,hgbt,0.11,35,10,374,5,0.7778,0.8750,0.8235,0.082547,0.059932,miss_sensitive_fn5_fp1,5.00,1.00,424,40,384
houston,houston_pooled_pairwise,hgbt,0.12,35,9,375,5,0.7955,0.8750,0.8333,0.080189,0.058219,miss_sensitive_fn5_fp1,5.00,1.00,424,40,384
houston,houston_pooled_pairwise,hgbt,0.13,35,9,375,5,0.7955,0.8750,0.8333,0.080189,0.058219,miss_sensitive_fn5_fp1,5.00,1.00,424,40,384
houston,houston_pooled_pairwise,hgbt,0.14,35,9,375,5,0.7955,0.8750,0.8333,0.080189,0.058219,miss_sensitive_fn5_fp1,5.00,1.00,424,40,384
houston,houston_pooled_pairwise,hgbt,0.15,35,9,375,5,0.7955,0.8750,0.8333,0.080189,0.058219,miss_sensitive_fn5_fp1,5.00,1.00,424,40,384
houston,houston_pooled_pairwise,hgbt,0.16,35,8,376,5,0.8140,0.8750,0.8434,0.077830,0.056507,miss_sensitive_fn5_fp1,5.00,1.00,424,40,384
houston,houston_pooled_pairwise,hgbt,0.17,35,8,376,5,0.8140,0.8750,0.8434,0.077830,0.056507,miss_sensitive_fn5_fp1,5.00,1.00,424,40,384
houston,houston_pooled_pairwise,hgbt,0.18,35,8,376,5,0.8140,0.8750,0.8434,0.077830,0.056507,miss_sensitive_fn5_fp1,5.00,1.00,424,40,384
houston,houston_pooled_pairwise,hgbt,0.19,35,8,376,5,0.8140,0.8750,0.8434,0.077830,0.056507,miss_sensitive_fn5_fp1,5.00,1.00,424,40,384
houston,houston_pooled_pairwise,hgbt,0.20,35,7,377,5,0.8333,0.8750,0.8537,0.075472,0.054795,miss_sensitive_fn5_fp1,5.00,1.00,424,40,384
houston,houston_pooled_pairwise,hgbt,0.21,32,7,377,8,0.8205,0.8000,0.8101,0.110849,0.080479,miss_sensitive_fn5_fp1,5.00,1.00,424,40,384
houston,houston_pooled_pairwise,hgbt,0.22,32,7,377,8,0.8205,0.8000,0.8101,0.110849,0.080479,miss_sensitive_fn5_fp1,5.00,1.00,424,40,384
houston,houston_pooled_pairwise,hgbt,0.23,32,7,377,8,0.8205,0.8000,0.8101,0.110849,0.080479,miss_sensitive_fn5_fp1,5.00,1.00,424,40,384
houston,houston_pooled_pairwise,hgbt,0.24,32,7,377,8,0.8205,0.8000,0.8101,0.110849,0.080479,miss_sensitive_fn5_fp1,5.00,1.00,424,40,384
houston,houston_pooled_pairwise,hgbt,0.25,32,7,377,8,0.8205,0.8000,0.8101,0.110849,0.080479,miss_sensitive_fn5_fp1,5.00,1.00,424,40,384
houston,houston_pooled_pairwise,hgbt,0.26,32,6,378,8,0.8421,0.8000,0.8205,0.108491,0.078767,miss_sensitive_fn5_fp1,5.00,1.00,424,40,384
houston,houston_pooled_pairwise,hgbt,0.27,32,6,378,8,0.8421,0.8000,0.8205,0.108491,0.078767,miss_sensitive_fn5_fp1,5.00,1.00,424,40,384
houston,houston_pooled_pairwise,hgbt,0.28,32,6,378,8,0.8421,0.8000,0.8205,0.108491,0.078767,miss_sensitive_fn5_fp1,5.00,1.00,424,40,384
houston,houston_pooled_pairwise,hgbt,0.29,32,6,378,8,0.8421,0.8000,0.8205,0.108491,0.078767,miss_sensitive_fn5_fp1,5.00,1.00,424,40,384
houston,houston_pooled_pairwise,hgbt,0.30,32,6,378,8,0.8421,0.8000,0.8205,0.108491,0.078767,miss_sensitive_fn5_fp1,5.00,1.00,424,40,384
houston,houston_pooled_pairwise,hgbt,0.31,32,6,378,8,0.8421,0.8000,0.8205,0.108491,0.078767,miss_sensitive_fn5_fp1,5.00,1.00,424,40,384
houston,houston_pooled_pairwise,hgbt,0.32,32,5,379,8,0.8649,0.8000,0.8312,0.106132,0.077055,miss_sensitive_fn5_fp1,5.00,1.00,424,40,384
houston,houston_pooled_pairwise,hgbt,0.33,32,5,379,8,0.8649,0.8000,0.8312,0.106132,0.077055,miss_sensitive_fn5_fp1,5.00,1.00,424,40,384
houston,houston_pooled_pairwise,hgbt,0.34,32,5,379,8,0.8649,0.8000,0.8312,0.106132,0.077055,miss_sensitive_fn5_fp1,5.00,1.00,424,40,384
houston,houston_pooled_pairwise,hgbt,0.35,32,5,379,8,0.8649,0.8000,0.8312,0.106132,0.077055,miss_sensitive_fn5_fp1,5.00,1.00,424,40,384
houston,houston_pooled_pairwise,hgbt,0.36,32,5,379,8,0.8649,0.8000,0.8312,0.106132,0.077055,miss_sensitive_fn5_fp1,5.00,1.00,424,40,384
houston,houston_pooled_pairwise,hgbt,0.37,32,5,379,8,0.8649,0.8000,0.8312,0.106132,0.077055,miss_sensitive_fn5_fp1,5.00,1.00,424,40,384
houston,houston_pooled_pairwise,hgbt,0.38,32,5,379,8,0.8649,0.8000,0.8312,0.106132,0.077055,miss_sensitive_fn5_fp1,5.00,1.00,424,40,384
houston,houston_pooled_pairwise,hgbt,0.39,32,5,379,8,0.8649,0.8000,0.8312,0.106132,0.077055,miss_sensitive_fn5_fp1,5.00,1.00,424,40,384
