source_region,model_name,method,pair_count,completed_pair_count,negative_fixed_count,negative_retuned_count,mean_delta_f1_fixed,mean_delta_f1_retuned,mean_target_ece,max_target_ece,all_targets_ece_leq_max,meets_negative_fixed_budget,meets_negative_retuned_budget,combined_pass_fixed,combined_pass_retuned
houston,extra_trees,isotonic,2,2,2,2,-0.15819389595270167,-0.12818776105004975,0.036659875998870856,0.061596214703476336,True,False,False,False,False
houston,extra_trees,none,2,2,2,2,-0.17543843975306217,-0.12768137286290582,0.06019571417587821,0.08873939055222888,True,False,False,False,False
houston,extra_trees,platt,2,2,2,2,-0.15687621664949047,-0.12857654065383534,0.16893028171831326,0.2003100029809674,False,False,False,False,False
houston,hgbt,isotonic,2,2,2,2,-0.17653965358568124,-0.14159667179305174,0.0273569942832659,0.041501982797749984,True,False,False,False,False
houston,hgbt,none,2,2,2,2,-0.17430296240975857,-0.133056133056133,0.033677363563232414,0.042790174983366555,True,False,False,False,False
houston,hgbt,platt,2,2,2,2,-0.17482517482517484,-0.132524235845269,0.11925997496654242,0.13254344218455724,False,False,False,False,False
houston,logreg,isotonic,2,2,2,2,-0.23091613038246223,-0.19071019682672452,0.07834394411441717,0.13709101094027915,False,False,False,False,False
houston,logreg,none,2,2,2,2,-0.23091613038246223,-0.19451052956207593,0.13577729088217996,0.21445256353958775,False,False,False,False,False
houston,logreg,platt,2,2,2,2,-0.2270805455114882,-0.2095636268617716,0.21204046123373263,0.27699366666738545,False,False,False,False,False
houston,random_forest,isotonic,2,2,2,2,-0.2078711105645062,-0.12550010052271815,0.041569810603892254,0.07482844683647208,True,False,False,False,False
houston,random_forest,none,2,2,2,2,-0.20494070359758038,-0.11549900275189984,0.045716249597216846,0.07205002062541589,True,False,False,False,False
houston,random_forest,platt,2,2,2,2,-0.20545720076299473,-0.11640316952419344,0.15571322038011687,0.18900164113652948,False,False,False,False,False
houston,rule_score,isotonic,2,2,0,0,0.6032120676534846,0.6057700024075114,0.056647717636646916,0.06840750472573154,True,True,True,True,True
houston,rule_score,none,2,2,0,0,0.5435893596481296,0.594183882122989,0.13985015079841429,0.13985745043246828,False,True,True,False,False
houston,rule_score,platt,2,2,0,0,0.5986402598927552,0.6066839662497947,0.21560979380018525,0.24124907009987243,False,True,True,False,False
houston,torch_mlp,isotonic,2,2,2,2,-0.17853784420133806,-0.15421949951360236,0.034558624140554745,0.04861578172412615,True,False,False,False,False
houston,torch_mlp,none,2,2,2,2,-0.17629317544869055,-0.14981374234088718,0.2168657877765675,0.23023813107119093,False,False,False,False,False
houston,torch_mlp,platt,2,2,2,2,-0.17602386663289782,-0.1501689708141321,0.1426214630095145,0.15955373188085947,False,False,False,False,False
