region,dataset,model_name,bin_index,bin_lower,bin_upper,count,avg_score,empirical_rate,gap_abs
houston,houston_pooled_pairwise,hgbt,0,0.0,0.1,3790,0.001397936675461742,0.013192612137203167,0.011794675461741424
houston,houston_pooled_pairwise,hgbt,1,0.1,0.2,30,0.15524200000000002,0.0,0.15524200000000002
houston,houston_pooled_pairwise,hgbt,2,0.2,0.3,40,0.21938850000000007,0.75,0.5306114999999999
houston,houston_pooled_pairwise,hgbt,3,0.3,0.4,20,0.3556244999999999,0.5,0.1443755000000001
houston,houston_pooled_pairwise,hgbt,4,0.4,0.5,40,0.45286825000000014,0.5,0.04713174999999986
houston,houston_pooled_pairwise,hgbt,5,0.5,0.6,10,0.514341,0.0,0.514341
houston,houston_pooled_pairwise,hgbt,6,0.6,0.7,0,,,
houston,houston_pooled_pairwise,hgbt,7,0.7,0.8,0,,,
houston,houston_pooled_pairwise,hgbt,8,0.8,0.9,10,0.824065,0.0,0.824065
houston,houston_pooled_pairwise,hgbt,9,0.9,1.0,300,0.9939499333333343,0.9666666666666667,0.027283266666667583
nola,nola_pooled_pairwise,hgbt,0,0.0,0.1,12430,0.0023848028962188184,0.004827031375703942,0.0024422284794851233
nola,nola_pooled_pairwise,hgbt,1,0.1,0.2,210,0.14384785714285686,0.09523809523809523,0.04860976190476163
nola,nola_pooled_pairwise,hgbt,2,0.2,0.3,140,0.2416495714285714,0.0,0.2416495714285714
nola,nola_pooled_pairwise,hgbt,3,0.3,0.4,170,0.3393435882352939,0.17647058823529413,0.1628729999999998
nola,nola_pooled_pairwise,hgbt,4,0.4,0.5,120,0.44956791666666673,0.3333333333333333,0.11623458333333342
nola,nola_pooled_pairwise,hgbt,5,0.5,0.6,50,0.5435546000000001,0.4,0.1435546000000001
nola,nola_pooled_pairwise,hgbt,6,0.6,0.7,60,0.6336063333333334,0.3333333333333333,0.30027300000000007
nola,nola_pooled_pairwise,hgbt,7,0.7,0.8,60,0.7443939999999998,0.5,0.24439399999999978
nola,nola_pooled_pairwise,hgbt,8,0.8,0.9,50,0.8518728,0.2,0.6518728
nola,nola_pooled_pairwise,hgbt,9,0.9,1.0,420,0.9666413333333335,0.6428571428571429,0.32378419047619056
seattle,seattle_pooled_pairwise,extra_trees,0,0.0,0.1,3147,0.015415374960279714,0.009532888465204958,0.0058824864950747565
seattle,seattle_pooled_pairwise,extra_trees,1,0.1,0.2,206,0.14349123300970867,0.05339805825242718,0.09009317475728149
seattle,seattle_pooled_pairwise,extra_trees,2,0.2,0.3,94,0.24452690425531914,0.09574468085106383,0.14878222340425531
seattle,seattle_pooled_pairwise,extra_trees,3,0.3,0.4,68,0.35357225000000014,0.20588235294117646,0.14768989705882368
seattle,seattle_pooled_pairwise,extra_trees,4,0.4,0.5,72,0.45213652777777774,0.2222222222222222,0.22991430555555553
seattle,seattle_pooled_pairwise,extra_trees,5,0.5,0.6,111,0.5614386306306308,0.5315315315315315,0.029907099099099277
seattle,seattle_pooled_pairwise,extra_trees,6,0.6,0.7,105,0.6440281142857145,0.6190476190476191,0.024980495238095424
seattle,seattle_pooled_pairwise,extra_trees,7,0.7,0.8,62,0.7429216290322583,0.9838709677419355,0.24094933870967716
seattle,seattle_pooled_pairwise,extra_trees,8,0.8,0.9,35,0.8569552571428571,0.42857142857142855,0.4283838285714286
seattle,seattle_pooled_pairwise,extra_trees,9,0.9,1.0,310,0.9835799580645156,1.0,0.01642004193548441
