evidence_type,region,scope,split,direction,row_count,positive_rate,own_ship_count,test_rows,test_positive_count,test_positive_support_flag,hgbt_f1,logreg_f1,hgbt_minus_logreg_f1,hgbt_auroc,hgbt_auprc,hgbt_threshold,logreg_threshold,hgbt_source_f1,hgbt_target_f1,hgbt_delta_f1,logreg_source_f1,logreg_target_f1,logreg_delta_f1,summary_json_path,predictions_csv_path
cross_year_transfer,ny_nj,cross_year_transfer,own_ship,ny_nj_2023_to_2024,1298,0.0485362095531587,12,,,,0.628099173553719,0.55,0.07809917355371898,0.9308270676691729,0.5909301878549056,0.3,0.8,0.5333333333333333,0.628099173553719,0.0947658402203857,0.0,0.55,0.55,/Users/seoki/Desktop/research/outputs/2026-03-17_r36_cross_year_ny_nj_transfer/ny_nj_2023_to_2024_transfer_summary.json,/Users/seoki/Desktop/research/outputs/2026-03-17_r36_cross_year_ny_nj_transfer/ny_nj_2023_to_2024_target_predictions.csv
cross_year_transfer,ny_nj,cross_year_transfer,own_ship,ny_nj_2024_to_2023,960,0.0625,5,,,,0.6991869918699187,0.6419753086419753,0.057211683227943455,0.9587222222222223,0.7509030042473951,0.4,0.4,0.6666666666666666,0.6991869918699187,0.0325203252032521,0.43636363636363634,0.6419753086419753,0.20561167227833893,/Users/seoki/Desktop/research/outputs/2026-03-17_r36_cross_year_ny_nj_transfer/ny_nj_2024_to_2023_transfer_summary.json,/Users/seoki/Desktop/research/outputs/2026-03-17_r36_cross_year_ny_nj_transfer/ny_nj_2024_to_2023_target_predictions.csv
cross_year_transfer,seattle,cross_year_transfer,own_ship,seattle_2023_to_2024,652,0.15337423312883436,9,,,,0.7684729064039408,0.797979797979798,-0.029506891575857175,0.9544202898550725,0.882036150844494,0.25,0.75,0.7951807228915663,0.7684729064039408,-0.026707816487625435,0.8292682926829268,0.797979797979798,-0.03128849470312878,/Users/seoki/Desktop/research/outputs/2026-03-17_r59_cross_year_seattle_transfer/seattle_2023_to_2024_transfer_summary.json,/Users/seoki/Desktop/research/outputs/2026-03-17_r59_cross_year_seattle_transfer/seattle_2023_to_2024_target_predictions.csv
cross_year_transfer,seattle,cross_year_transfer,own_ship,seattle_2024_to_2023,1503,0.1763140385894877,5,,,,0.8191489361702128,0.8220640569395018,-0.0029151207692890146,0.9674962660407839,0.9241971884148511,0.15,0.75,0.7878787878787878,0.8191489361702128,0.03127014829142494,0.7272727272727273,0.8220640569395018,0.0947913296667745,/Users/seoki/Desktop/research/outputs/2026-03-17_r59_cross_year_seattle_transfer/seattle_2024_to_2023_transfer_summary.json,/Users/seoki/Desktop/research/outputs/2026-03-17_r59_cross_year_seattle_transfer/seattle_2024_to_2023_target_predictions.csv
true_unseen_area,la_long_beach,pooled_true_new_area,own_ship,,853,0.10668229777256741,8,163,3,low,0.4,0.17647058823529413,0.2235294117647059,0.9833333333333333,0.5873015873015872,0.25,0.05,,,,,,,/Users/seoki/Desktop/research/outputs/2026-03-17_r13_true_new_area_la_long_beach_pooled/la_long_beach_pooled_own_ship_summary.json,/Users/seoki/Desktop/research/outputs/2026-03-17_r13_true_new_area_la_long_beach_pooled/la_long_beach_pooled_own_ship_test_predictions.csv
true_unseen_area,la_long_beach,pooled_true_new_area,timestamp,,853,0.10668229777256741,8,169,26,ok,0.8333333333333334,0.8928571428571429,-0.059523809523809534,0.9841312533620226,0.9505173440377712,0.25,0.9,,,,,,,/Users/seoki/Desktop/research/outputs/2026-03-17_r13_true_new_area_la_long_beach_pooled/la_long_beach_pooled_timestamp_summary.json,/Users/seoki/Desktop/research/outputs/2026-03-17_r13_true_new_area_la_long_beach_pooled/la_long_beach_pooled_timestamp_test_predictions.csv
true_unseen_area,ny_nj,pooled_true_new_area,own_ship,,960,0.0625,5,290,6,low,0.5333333333333333,0.0,0.5333333333333333,0.9436619718309859,0.4917803353225348,0.3,0.8,,,,,,,/Users/seoki/Desktop/research/outputs/2026-03-17_r5_true_new_area_ny_nj_pooled/ny_nj_pooled_own_ship_summary.json,/Users/seoki/Desktop/research/outputs/2026-03-17_r5_true_new_area_ny_nj_pooled/ny_nj_pooled_own_ship_test_predictions.csv
true_unseen_area,ny_nj,pooled_true_new_area,timestamp,,960,0.0625,5,172,6,low,0.3333333333333333,0.5,-0.16666666666666669,0.9558232931726909,0.41565515094926864,0.85,0.95,,,,,,,/Users/seoki/Desktop/research/outputs/2026-03-17_r5_true_new_area_ny_nj_pooled/ny_nj_pooled_timestamp_summary.json,/Users/seoki/Desktop/research/outputs/2026-03-17_r5_true_new_area_ny_nj_pooled/ny_nj_pooled_timestamp_test_predictions.csv
true_unseen_area,savannah,pooled_true_new_area,own_ship,,198,0.005050505050505051,12,20,0,low,0.0,0.0,0.0,,,0.05,0.05,,,,,,,/Users/seoki/Desktop/research/outputs/2026-03-17_r24_true_new_area_savannah_pooled/savannah_pooled_own_ship_summary.json,/Users/seoki/Desktop/research/outputs/2026-03-17_r24_true_new_area_savannah_pooled/savannah_pooled_own_ship_test_predictions.csv
true_unseen_area,savannah,pooled_true_new_area,timestamp,,198,0.005050505050505051,12,34,0,low,0.0,0.0,0.0,,,0.05,0.05,,,,,,,/Users/seoki/Desktop/research/outputs/2026-03-17_r24_true_new_area_savannah_pooled/savannah_pooled_timestamp_summary.json,/Users/seoki/Desktop/research/outputs/2026-03-17_r24_true_new_area_savannah_pooled/savannah_pooled_timestamp_test_predictions.csv
