region,dataset,model_name,bin_index,bin_lower,bin_upper,count,avg_score,empirical_rate,gap_abs
houston,houston_pooled_pairwise,hgbt,0,0.0,0.1,1137,0.0013979366754617404,0.013192612137203167,0.011794675461741426
houston,houston_pooled_pairwise,hgbt,1,0.1,0.2,9,0.15524200000000002,0.0,0.15524200000000002
houston,houston_pooled_pairwise,hgbt,2,0.2,0.3,12,0.21938849999999996,0.75,0.5306115
houston,houston_pooled_pairwise,hgbt,3,0.3,0.4,6,0.3556245,0.5,0.1443755
houston,houston_pooled_pairwise,hgbt,4,0.4,0.5,12,0.45286825,0.5,0.04713174999999997
houston,houston_pooled_pairwise,hgbt,5,0.5,0.6,3,0.514341,0.0,0.514341
houston,houston_pooled_pairwise,hgbt,6,0.6,0.7,0,,,
houston,houston_pooled_pairwise,hgbt,7,0.7,0.8,0,,,
houston,houston_pooled_pairwise,hgbt,8,0.8,0.9,3,0.824065,0.0,0.824065
houston,houston_pooled_pairwise,hgbt,9,0.9,1.0,90,0.9939499333333337,0.9666666666666667,0.027283266666667028
nola,nola_pooled_pairwise,hgbt,0,0.0,0.1,3729,0.002384802896218834,0.004827031375703942,0.0024422284794851077
nola,nola_pooled_pairwise,hgbt,1,0.1,0.2,63,0.14384785714285725,0.09523809523809523,0.04860976190476202
nola,nola_pooled_pairwise,hgbt,2,0.2,0.3,42,0.2416495714285714,0.0,0.2416495714285714
nola,nola_pooled_pairwise,hgbt,3,0.3,0.4,51,0.33934358823529415,0.17647058823529413,0.16287300000000002
nola,nola_pooled_pairwise,hgbt,4,0.4,0.5,36,0.4495679166666668,0.3333333333333333,0.11623458333333347
nola,nola_pooled_pairwise,hgbt,5,0.5,0.6,15,0.5435546,0.4,0.14355459999999998
nola,nola_pooled_pairwise,hgbt,6,0.6,0.7,18,0.6336063333333334,0.3333333333333333,0.30027300000000007
nola,nola_pooled_pairwise,hgbt,7,0.7,0.8,18,0.744394,0.5,0.244394
nola,nola_pooled_pairwise,hgbt,8,0.8,0.9,15,0.8518728000000001,0.2,0.6518728
nola,nola_pooled_pairwise,hgbt,9,0.9,1.0,126,0.966641333333333,0.6428571428571429,0.3237841904761901
seattle,seattle_pooled_pairwise,logreg,0,0.0,0.1,939,0.007811543130990419,0.012779552715654952,0.004968009584664533
seattle,seattle_pooled_pairwise,logreg,1,0.1,0.2,63,0.13914390476190477,0.09523809523809523,0.04390580952380954
seattle,seattle_pooled_pairwise,logreg,2,0.2,0.3,24,0.238178125,0.125,0.11317812499999999
seattle,seattle_pooled_pairwise,logreg,3,0.3,0.4,12,0.34278475,0.0,0.34278475
seattle,seattle_pooled_pairwise,logreg,4,0.4,0.5,9,0.4863073333333333,0.3333333333333333,0.152974
seattle,seattle_pooled_pairwise,logreg,5,0.5,0.6,9,0.589032,0.3333333333333333,0.2556986666666667
seattle,seattle_pooled_pairwise,logreg,6,0.6,0.7,15,0.6344802,0.0,0.6344802
seattle,seattle_pooled_pairwise,logreg,7,0.7,0.8,9,0.7720389999999999,0.0,0.7720389999999999
seattle,seattle_pooled_pairwise,logreg,8,0.8,0.9,24,0.853844375,0.5,0.353844375
seattle,seattle_pooled_pairwise,logreg,9,0.9,1.0,159,0.980747962264151,0.8679245283018868,0.11282343396226413
