evidence_type,region,scope,split,direction,row_count,positive_rate,own_ship_count,test_rows,test_positive_count,test_positive_support_flag,hgbt_f1,logreg_f1,hgbt_minus_logreg_f1,hgbt_auroc,hgbt_auprc,hgbt_threshold,logreg_threshold,hgbt_source_f1,hgbt_target_f1,hgbt_delta_f1,logreg_source_f1,logreg_target_f1,logreg_delta_f1,summary_json_path,predictions_csv_path
cross_year_transfer,la_long_beach,cross_year_transfer,own_ship,la_long_beach_2023_to_2024,494,0.05465587044534413,7,,,,0.6896551724137931,0.3597122302158273,0.3299429421979658,0.9636767388373384,0.7518630214037327,0.8,0.05,0.5454545454545454,0.6896551724137931,0.14420062695924774,0.17142857142857143,0.3597122302158273,0.1882836587872559,/Users/seoki/Desktop/research/outputs/2026-04-05_r2_cross_year_la_long_beach_transfer/la_long_beach_2023_to_2024_transfer_summary.json,/Users/seoki/Desktop/research/outputs/2026-04-05_r2_cross_year_la_long_beach_transfer/la_long_beach_2023_to_2024_target_predictions.csv
cross_year_transfer,la_long_beach,cross_year_transfer,own_ship,la_long_beach_2024_to_2023,853,0.10668229777256741,8,,,,0.8829787234042553,0.489010989010989,0.3939677343932663,0.9824565198580947,0.9057846028325651,0.05,0.05,0.4444444444444444,0.8829787234042553,0.4385342789598109,0.25806451612903225,0.489010989010989,0.23094647288195674,/Users/seoki/Desktop/research/outputs/2026-04-05_r2_cross_year_la_long_beach_transfer/la_long_beach_2024_to_2023_transfer_summary.json,/Users/seoki/Desktop/research/outputs/2026-04-05_r2_cross_year_la_long_beach_transfer/la_long_beach_2024_to_2023_target_predictions.csv
cross_year_transfer,ny_nj,cross_year_transfer,own_ship,ny_nj_2023_to_2024,1298,0.0485362095531587,12,,,,0.628099173553719,0.55,0.07809917355371898,0.9308270676691729,0.5909301878549056,0.3,0.8,0.5333333333333333,0.628099173553719,0.0947658402203857,0.0,0.55,0.55,/Users/seoki/Desktop/research/outputs/2026-03-17_r36_cross_year_ny_nj_transfer/ny_nj_2023_to_2024_transfer_summary.json,/Users/seoki/Desktop/research/outputs/2026-03-17_r36_cross_year_ny_nj_transfer/ny_nj_2023_to_2024_target_predictions.csv
cross_year_transfer,ny_nj,cross_year_transfer,own_ship,ny_nj_2024_to_2023,960,0.0625,5,,,,0.6991869918699187,0.6419753086419753,0.057211683227943455,0.9587222222222223,0.7509030042473951,0.4,0.4,0.6666666666666666,0.6991869918699187,0.0325203252032521,0.43636363636363634,0.6419753086419753,0.20561167227833893,/Users/seoki/Desktop/research/outputs/2026-03-17_r36_cross_year_ny_nj_transfer/ny_nj_2024_to_2023_transfer_summary.json,/Users/seoki/Desktop/research/outputs/2026-03-17_r36_cross_year_ny_nj_transfer/ny_nj_2024_to_2023_target_predictions.csv
cross_year_transfer,seattle,cross_year_transfer,own_ship,seattle_2023_to_2024,652,0.15337423312883436,9,,,,0.7684729064039408,0.797979797979798,-0.029506891575857175,0.9544202898550725,0.882036150844494,0.25,0.75,0.7951807228915663,0.7684729064039408,-0.026707816487625435,0.8292682926829268,0.797979797979798,-0.03128849470312878,/Users/seoki/Desktop/research/outputs/2026-03-17_r59_cross_year_seattle_transfer/seattle_2023_to_2024_transfer_summary.json,/Users/seoki/Desktop/research/outputs/2026-03-17_r59_cross_year_seattle_transfer/seattle_2023_to_2024_target_predictions.csv
cross_year_transfer,seattle,cross_year_transfer,own_ship,seattle_2024_to_2023,1503,0.1763140385894877,5,,,,0.8191489361702128,0.8220640569395018,-0.0029151207692890146,0.9674962660407839,0.9241971884148511,0.15,0.75,0.7878787878787878,0.8191489361702128,0.03127014829142494,0.7272727272727273,0.8220640569395018,0.0947913296667745,/Users/seoki/Desktop/research/outputs/2026-03-17_r59_cross_year_seattle_transfer/seattle_2024_to_2023_transfer_summary.json,/Users/seoki/Desktop/research/outputs/2026-03-17_r59_cross_year_seattle_transfer/seattle_2024_to_2023_target_predictions.csv
true_unseen_area,la_long_beach_2023_expanded,pooled_true_new_area,own_ship,,4609,0.10110653070080278,12,1040,53,ok,0.7216494845360825,0.640625,0.08102448453608246,0.9749192330484984,0.7945520836136255,0.9,0.85,,,,,,,/Users/seoki/Desktop/research/outputs/2026-04-05_r14_true_new_area_la_long_beach_2023_expanded_pooled/la_long_beach_2023_expanded_pooled_own_ship_summary.json,/Users/seoki/Desktop/research/outputs/2026-04-05_r14_true_new_area_la_long_beach_2023_expanded_pooled/la_long_beach_2023_expanded_pooled_own_ship_test_predictions.csv
true_unseen_area,la_long_beach_2023_expanded,pooled_true_new_area,timestamp,,4609,0.10110653070080278,12,1051,74,ok,0.8368794326241135,0.8220858895705522,0.014793543053561287,0.9869844255719384,0.915736024134093,0.6,0.65,,,,,,,/Users/seoki/Desktop/research/outputs/2026-04-05_r14_true_new_area_la_long_beach_2023_expanded_pooled/la_long_beach_2023_expanded_pooled_timestamp_summary.json,/Users/seoki/Desktop/research/outputs/2026-04-05_r14_true_new_area_la_long_beach_2023_expanded_pooled/la_long_beach_2023_expanded_pooled_timestamp_test_predictions.csv
true_unseen_area,ny_nj_2023_extended,pooled_true_new_area,own_ship,,25802,0.13018370668940393,16,5566,698,ok,0.7789142407553108,0.7681818181818182,0.010732422573492606,0.9606193773500058,0.862467572047673,0.85,0.85,,,,,,,/Users/seoki/Desktop/research/outputs/2026-04-05_r22_nynj_ext_overridepool_true_new_area_ny_nj_2023_extended_pooled/ny_nj_2023_extended_pooled_own_ship_summary.json,/Users/seoki/Desktop/research/outputs/2026-04-05_r22_nynj_ext_overridepool_true_new_area_ny_nj_2023_extended_pooled/ny_nj_2023_extended_pooled_own_ship_test_predictions.csv
true_unseen_area,ny_nj_2023_extended,pooled_true_new_area,timestamp,,25802,0.13018370668940393,16,5016,724,ok,0.8462073764787752,0.8375,0.008707376478775175,0.9735847368610753,0.91826856659955,0.8,0.85,,,,,,,/Users/seoki/Desktop/research/outputs/2026-04-05_r22_nynj_ext_overridepool_true_new_area_ny_nj_2023_extended_pooled/ny_nj_2023_extended_pooled_timestamp_summary.json,/Users/seoki/Desktop/research/outputs/2026-04-05_r22_nynj_ext_overridepool_true_new_area_ny_nj_2023_extended_pooled/ny_nj_2023_extended_pooled_timestamp_test_predictions.csv
